Europe, Albania, 204928, 1430984, 5474
Europe, Andorra, 20549, 218899, 2130
Europe, Austria, 1245232, 116984758, 51189
Europe, Belarus, 681517, 10770753, 3333
Europe, Belgium, 1990160, 26251807, 496116
Europe, Bosnia and Herzegovina, 284272, 1444359, 78933
Europe, Bulgaria, 721819, 7031088, 95090
Europe, Channel Islands, 21457, 1102820, 1909
Europe, Croatia, 669940, 3627745, 23931
Europe, Czechia, 2388253, 45951590, 244872
Europe, Denmark, 600468, 100910131, 98705
Europe, Estonia, 231117, 2432660, 13278
Europe, Faeroe Islands, 4477, 601000, 424
Europe, Finland, 213318, 8317334, 165872
Europe, France, 8460712, 178020146, 872312
Europe, Germany, 6733836, 87852398, 946061
Europe, Gibraltar, 7730, 434217, 357
Europe, Greece, 1022141, 41907816, 59348
Europe, Hungary, 1218295, 8947845, 154511
Europe, Iceland, 20232, 1304837, 1552
Europe, Ireland, 640548, 9313992, 133135
Europe, Isle of Man, 12974, 133676, 887
Europe, Italy, 5308180, 128435536, 317930
Europe, Latvia, 265806, 5501990, 9499
Europe, Liechtenstein, 5551, 80413, 331
Europe, Lithuania, 499262, 6431380, 27571
Europe, Luxembourg, 95759, 3760287, 5970
Europe, Malta, 41280, 1211456, 2012
Europe, Moldova, 371410, 2288376, 5354
Europe, Monaco, 4283, 54960, 257
Europe, Montenegro, 160655, 935932, 1981
Europe, Netherlands, 2952128, 19205114, 596836
Europe, North Macedonia, 220467, 1512496, 5451
Europe, Norway, 339008, 8973755, 248854
Europe, Poland, 3923472, 25966712, 446379
Europe, Portugal, 1215774, 23265367, 70406
Europe, Romania, 1796973, 16614265, 15765
Europe, Russia, 10159389, 234000000, 950060
Europe, San Marino, 6600, 95754, 528
Europe, Serbia, 1280644, 7045574, 28041
Europe, Slovakia, 798663, 4937052, 85801
Europe, Slovenia, 446506, 2018558, 19425
Europe, Spain, 5422168, 66213858, 368432
Europe, Sweden, 1250885, 14208757, 63317
Europe, Switzerland, 1169968, 13462260, 241981
Europe, UK, 11097851, 382575086, 1292539
Europe, Ukraine, 3597046, 16439563, 197940
Europe, Vatican City, 27, N/A, 0
